method,basin_id,best_test_NSE,best_test_KGE,best_train_NSE,best_trial_idx,best_menu,best_rep,best_ngs,n_trials,total_tokens,total_wall_s,total_active_s,total_llm_dec_s
M0,01543000,0.4155538168709725,0.49653440626421497,0.403258780146902,1,NSE/default/default,500,50,1,0,131.6,0,0
M0_max,01543000,0.4569383371724365,0.5528928273358942,0.4571755280936326,1,NSE/default/default,2000,200,1,0,612.8,0,0
M0_min,01543000,0.3676820242050224,0.3750372576491603,0.3754167091023265,1,NSE/default/default,100,10,1,0,29.2,0,0
M1_B,01543000,0.5231327659075464,0.6925511864979925,0.5215855176216535,3,NSE/deep/boundary_expand,1500,100,5,0,916.4,296.4,0
M2_A,01543000,0.4539351348783275,0.6742036865398653,0.3378492516793983,3,LOGNSE/default/wide,500,50,5,7745,639.7,0,50.5
M2_B,01543000,0.4851280623909128,0.589755996763331,0.5272961293379208,4,NSE/default/wide,1500,100,5,19817,1051.0,0,93.1
M0,03574500,0.5687037640552917,0.4896712074744196,0.7749798908100108,1,NSE/default/default,500,50,1,0,125.2,0,0
M0_max,03574500,0.6518727294863946,0.5068566311368985,0.7803071748349213,1,NSE/default/default,2000,200,1,0,736.1,0,0
M0_min,03574500,0.5687037640552917,0.4896712074744196,0.7749798908100108,1,NSE/default/default,100,10,1,0,25.4,0,0
M1_B,03574500,0.7373767844372334,0.6751918927539482,0.7859541557299476,4,NSE/deep/wide,1500,100,5,0,1048.1,278.8,0
M2_A,03574500,0.5687037640552917,0.4896712074744196,0.7749798908100108,1,NSE/default/default,500,50,5,6305,373.4,0,39.2
M2_B,03574500,0.6105215753123692,0.33981444653832227,0.7434030406397346,2,NSE/default/default,500,50,2,3809,236.6,0,12.9
M0,05495000,0.587400550449708,0.5840946033221622,0.6618522987048323,1,NSE/default/default,500,50,1,0,126.5,0,0
M0_max,05495000,0.5854299837993846,0.6065677790084272,0.6669615931550767,1,NSE/default/default,2000,200,1,0,739.8,0,0
M0_min,05495000,0.5918330060212875,0.5211364344263445,0.6432534382869952,1,NSE/default/default,100,10,1,0,26.3,0,0
M1_B,05495000,0.587400550449708,0.5840946033221622,0.6618522987048323,1,NSE/default/default,500,50,5,0,924.8,477.5,0
M2_A,05495000,0.5912822526231412,0.5394218406888744,0.6352856372588651,3,NSE/default/climate_prior,500,50,5,6742,505.9,0,39.1
M2_B,05495000,0.587400550449708,0.5840946033221622,0.6618522987048323,1,NSE/default/default,500,50,2,4367,240.4,0,20.1
M0,06885500,0.41003123205275716,0.023171204985356852,0.4494727562520998,1,NSE/default/default,500,50,1,0,126.5,0,0
M0_max,06885500,0.5186214787051965,0.21025539263206694,0.5492033411324833,1,NSE/default/default,2000,200,1,0,752.5,0,0
M0_min,06885500,0.41003123205275716,0.023171204985356852,0.4494727562520998,1,NSE/default/default,100,10,1,0,25.6,0,0
M1_B,06885500,0.47855438312656906,0.25719998575663094,0.5720787379741756,5,NSE/deep/boundary_expand,1500,100,5,0,1035.6,143.3,0
M2_A,06885500,0.4622795143773728,0.3506857223613945,0.5388217629765832,5,NSE/default/default,500,50,5,6688,746.2,0,30.6
M2_B,06885500,0.5327317940144447,0.015509916558007264,0.5838742519673901,4,NSE/default/boundary_expand,2000,150,5,20384,1162.3,0,100.3
M0,07197000,0.3229714311968298,-0.2816011591372938,0.21462627948062896,1,NSE/default/default,500,50,1,0,123.9,0,0
M0_max,07197000,0.35729635343135513,-0.18721947025521857,0.30234937116466254,1,NSE/default/default,2000,200,1,0,712.6,0,0
M0_min,07197000,0.3229714311968298,-0.2816011591372938,0.21462627948062896,1,NSE/default/default,100,10,1,0,25.8,0,0
M1_B,07197000,0.5451013327656948,0.6201708508084869,0.533936304575882,5,NSE/deep/boundary_expand,1000,100,5,0,930.3,80.1,0
M2_A,07197000,0.4310813232584012,0.022978036837046023,0.4140990620588001,2,NSE/deep/climate_prior,1000,100,5,7554,662.9,0,36.6
M2_B,07197000,0.5013498907260698,0.3820430823557319,0.5285773055082674,3,NSE/default/boundary_expand,1500,100,5,20531,1189.9,0,98.2
