method,basin_id,model,iters,iter_at_best,cap_binding,best_train_NSE,best_train_KGE,best_test_NSE,best_test_KGE,cum_wall_at_best_s,cum_tokens_at_best,cum_llm_t_at_best_s,cum_hydromodel_t_at_best_s,total_wall_s,total_tokens,total_llm_t_s,total_hydromodel_t_s
A,03439000,gr4j,1,1,N,-2.296047016674809,-0.5061442260557625,-0.8719858442078614,-0.6357619069014704,0.0,0,0.0,123.2,0.0,0,0.0,123.2
B,03439000,gr4j,30,27,N,-0.7590335479222519,0.05907937232058047,-0.32002313731305176,-0.5383569294089121,398.9,56453,391.3,7.6,438.9,62454,430.5,8.4
C,03439000,gr4j,15,15,Y,-1.4240196973737733,-0.20324181523759455,-0.6408738154935498,-0.8867862241760591,281.2,29130,224.1,57.1,281.2,29130,224.1,57.1
D,03439000,gr4j,15,8,N,-0.5987667427101724,-0.03319480567590416,-0.27176148253259846,-0.2632887337373697,1721.6,15992,92.2,1629.4,3228.0,29985,172.9,3055.1
A,03439000,xaj,1,1,N,0.10517509736189568,0.14789511803769895,0.06396488232153885,-0.11004979296889128,0.0,0,0.0,325.8,0.0,0,0.0,325.8
B,03439000,xaj,30,30,Y,-0.003960113637096585,0.22964525546272396,-0.015097945429596082,-0.1312392386605088,632.2,96418,613.5,18.7,632.2,96418,613.5,18.7
C,03439000,xaj,15,7,N,-0.23849559518857189,0.4055951970899617,0.013195645552776636,0.09572579962227434,1121.7,15289,101.8,1019.9,2491.0,43487,306.1,2185.0
D,03439000,xaj,15,7,N,0.16703641238064348,0.2900218297580893,0.116397683262078,-0.021944722749137613,2877.3,21175,106.6,2770.7,6165.7,45375,228.5,5937.1
A,11532500,gr4j,1,1,N,0.7040043063490807,0.8451274815892158,0.7414866561263087,0.86280508414912,0.0,0,0.0,128.0,0.0,0,0.0,128.0
B,11532500,gr4j,30,30,Y,0.550443175114927,0.5339057635969475,0.5773065162104525,0.4905949124531599,307.7,49541,299.3,8.4,307.7,49541,299.3,8.4
C,11532500,gr4j,15,5,N,0.468479717753855,0.4461593292445454,0.5423634735483885,0.44684968618212395,90.9,8444,69.6,21.3,258.7,26682,183.6,75.2
D,11532500,gr4j,15,2,N,0.744307754789041,0.8656308705897824,0.761453185176006,0.8213977556998261,326.2,4086,27.9,298.2,2446.4,30645,209.6,2236.8
A,11532500,xaj,1,1,N,0.5916785235690963,0.6580803850459929,0.5768502140222083,0.6068310002140715,0.0,0,0.0,322.8,0.0,0,0.0,322.8
B,11532500,xaj,30,29,N,0.5517733848255704,0.6622498112980868,0.5632129754983195,0.6295431638342193,404.9,77504,385.0,20.0,417.1,80117,396.5,20.6
C,11532500,xaj,15,8,N,0.5653045716667433,0.6238227840350248,0.5602774414906999,0.5846846009356009,1278.6,18902,111.4,1167.2,2365.6,35610,182.9,2182.7
D,11532500,xaj,15,1,N,0.6001477707341427,0.6340171304096422,0.5848124706066752,0.5812116803676377,362.6,3418,21.2,341.3,5438.8,51270,318.7,5120.0
A,12025000,gr4j,1,1,N,0.783538485521932,0.8330189855735624,0.747569526644025,0.8428365411575006,0.0,0,0.0,141.9,0.0,0,0.0,141.9
B,12025000,gr4j,30,21,N,0.3156638490692262,0.17836030335323327,0.29303486832992554,0.3023696404898214,236.3,33991,222.7,13.6,322.1,48697,306.0,16.1
C,12025000,gr4j,15,15,Y,0.45615564578156476,0.4233050359705921,0.4978561481999033,0.5447877388246132,240.8,26081,170.3,70.5,240.8,26081,170.3,70.5
D,12025000,gr4j,2,1,N,0.7817580965788944,0.7445855481028887,0.7842980822152325,0.8410274691772104,170.5,2210,14.8,155.0,340.9,4420,29.6,310.0
A,12025000,xaj,1,1,N,0.7235355653773834,0.7799548251450974,0.7758408797076196,0.8022394502010424,0.0,0,0.0,335.7,0.0,0,0.0,335.7
B,12025000,xaj,30,24,N,0.6093006556809052,0.5246672129578634,0.6296398427895162,0.5088458309422259,334.3,63713,317.7,16.6,404.6,78764,383.8,20.8
C,12025000,xaj,15,7,N,0.4401404767604038,0.5612641669523291,0.5180483282615616,0.5873937376708795,1146.1,17045,98.8,1047.2,2415.4,36526,187.3,2228.1
D,12025000,xaj,15,14,N,0.7332987425960908,0.761741948604206,0.7830322001800041,0.7673848961730527,4197.9,45220,258.0,3939.8,4497.7,48450,276.5,4221.2
